AMC7891;1;AVDD
AMC7891;2;AGND
AMC7891;3;DGND
AMC7891;4;GPIOVDD
AMC7891;5;SPIVDD
AMC7891;6;nCS
AMC7891;7;SCLK
AMC7891;8;SDI
AMC7891;9;SDO
AMC7891;10;DACOUT3
AMC7891;11;DACOUT2
AMC7891;12;DACOUT1
AMC7891;13;DACOUT0
AMC7891;14;AGND
AMC7891;15;GPIOC3
AMC7891;16;GPIOC2
AMC7891;17;GPIOC1
AMC7891;18;GPIOC0
AMC7891;19;nDAV
AMC7891;20;GPIOB3
AMC7891;21;GPIOB2
AMC7891;22;GPIOB1
AMC7891;23;GPIOB0
AMC7891;24;GPIOA3
AMC7891;25;GPIOA2
AMC7891;26;GPIOA1
AMC7891;27;GPIOA0
AMC7891;28;AIN0
AMC7891;29;AIN1
AMC7891;30;AIN2
AMC7891;31;AIN3
AMC7891;32;AIN4
AMC7891;33;AIN5
AMC7891;34;AIN6
AMC7891;35;AIN7
AMC7891;36;REF
AMC7891;P;GND
AT45DB081D-MU;1;SI
AT45DB081D-MU;2;SCK
AT45DB081D-MU;3;RSTn
AT45DB081D-MU;4;CSn
AT45DB081D-MU;5;WPn
AT45DB081D-MU;6;VCC
AT45DB081D-MU;7;GND
AT45DB081D-MU;8;SO
Hirose;1;OUTPUT
Hirose;2;INPUT
Hirose;3;BOOST
Hirose;4;GND
Hirose;6;FB
Hirose;7;nOFF
Hirose;1;OUTPUT
Hirose;2;INPUT
Hirose;3;BOOST
Hirose;4;GND
Hirose;6;FB
Hirose;7;nOFF
Hirose;1;DAT2
Hirose;2;DAT3/CD
Hirose;3;CMD
Hirose;4;VDD
Hirose;5;CLK
Hirose;6;GND
Hirose;7;DAT0
Hirose;8;DAT1
Hirose;9;CD
Hirose;A;GND
Hirose;B;GND
Hirose;C;GND
Hirose;D;GND
FPGA;AA21;IO, DIFFIO_R35p, (DM3R/BWS#3R)/(DM3R/BWS#3R)/(DM1R/BWS#1R)
FPGA;P14;IO
FPGA;T17;IO, RUP3
FPGA;T18;IO, RDN3
FPGA;W20;IO, DIFFIO_R34n, (DQS3R/CQ3R#,CDPCLK4)/(DQS3R/CQ3R#,CDPCLK4)/(DQS3R/CQ3R#,CDPCLK4)
FPGA;W19;IO, DIFFIO_R34p
FPGA;Y22;IO, DIFFIO_R33n, (DQ3R)/(DQ3R)/(DQ1R)
FPGA;Y21;IO, DIFFIO_R33p
FPGA;U20;IO, DIFFIO_R32n, (DQ3R)/(DQ3R)/(DQ1R)
FPGA;U19;IO, DIFFIO_R32p
FPGA;N14;IO
FPGA;W22;IO, DIFFIO_R31n, (DQ3R)/(DQ3R)/(DQ1R)
FPGA;W21;IO, DIFFIO_R31p, (DQ3R)/(DQ3R)/(DQ1R)
FPGA;P15;IO, DIFFIO_R30n
FPGA;P16;IO, DIFFIO_R30p
FPGA;R17;IO, VREFB5N1
FPGA;M15;IO, DIFFIO_R29n
FPGA;N15;IO, DIFFIO_R29p
FPGA;P17;IO
